,iptg,median_yfp,filename,strain,backbone,plasmid
11,2000,0.5,Interop_CC118Lpir_pSeva221_Bm3R1_B1.csv,CC118Lpir,pSeva221,Bm3R1_B1
0,1,4.61,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
1,5,4.13,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
2,10,3.85,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
3,20,3.67,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
4,30,3.41,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
5,40,3.33,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
6,70,3.27,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
7,100,2.77,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
8,200,2.17,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
9,500,1.43,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
10,1000,0.91,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
11,2000,0.55,Interop_KT2440_pSeva221_LcaRA_I1.csv,KT2440,pSeva221,LcaRA_I1
0,1,6.1,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
1,5,2.4,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
2,10,1.9,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
3,20,0.5,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
4,30,0.6,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
5,40,0.1,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
6,70,0.1,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
7,100,0.1,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
8,200,0.1,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
9,500,0.3,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
10,1000,0.0,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
11,2000,0.2,Interop_CC118Lpir_pSeva221_SrpR_S3.csv,CC118Lpir,pSeva221,SrpR_S3
0,1,4.98,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
1,5,1.54,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
2,10,1.2,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
3,20,0.31,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
4,30,0.13,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
5,40,0.09,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
6,70,-0.03,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
7,100,0.0,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
8,200,0.03,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
9,500,-0.03,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
10,1000,0.03,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
11,2000,0.19,Interop_CC118Lpir_pSeva231_LmrA_N1.csv,CC118Lpir,pSeva231,LmrA_N1
0,1,10.74,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
1,5,6.14,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
2,10,2.83,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
3,20,1.2,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
4,30,1.76,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
5,40,0.88,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
6,70,0.13,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
7,100,0.03,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
8,200,-0.06,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
9,500,0.09,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
10,1000,-0.06,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
11,2000,0.09,Interop_CC118Lpir_pSeva231_BetI_E1.csv,CC118Lpir,pSeva231,BetI_E1
0,1,1.74,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
1,5,1.57,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
2,10,1.51,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
3,20,1.44,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
4,30,1.16,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
5,40,1.37,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
6,70,1.47,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
7,100,1.33,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
8,200,1.38,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
9,500,1.27,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
10,1000,1.34,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
11,2000,1.17,Interop_KT2440_pSeva231_Bm3R1_B3.csv,KT2440,pSeva231,Bm3R1_B3
0,1,0.27,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
1,5,0.24,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
2,10,0.21,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
3,20,0.21,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
4,30,0.19,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
5,40,0.22,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
6,70,0.19,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
7,100,0.21,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
8,200,0.18,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
9,500,0.15,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
10,1000,0.11,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
11,2000,0.06,Interop_KT2440_pSeva251_SrpR_S4.csv,KT2440,pSeva251,SrpR_S4
0,1,0.39,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
1,5,0.12,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
2,10,0.0,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
3,20,-0.02,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
4,30,-0.02,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
5,40,-0.02,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
6,70,-0.02,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
7,100,-0.02,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
8,200,-0.01,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
9,500,-0.01,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
10,1000,0.0,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
11,2000,0.0,Interop_DH5alpha_pSeva221_QacR_Q2.csv,DH5alpha,pSeva221,QacR_Q2
0,1,1.41,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
1,5,0.98,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
2,10,1.06,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
3,20,1.03,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
4,30,1.07,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
5,40,1.14,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
6,70,1.04,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
7,100,1.05,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
8,200,1.06,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
9,500,0.91,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
10,1000,0.73,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
11,2000,0.54,Interop_KT2440_pSeva231_AmtR_A1.csv,KT2440,pSeva231,AmtR_A1
0,1,2.59,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
1,5,2.47,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
2,10,2.28,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
3,20,2.33,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
4,30,2.3,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
5,40,2.35,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
6,70,2.14,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
7,100,2.15,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
8,200,1.98,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
9,500,1.6,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
10,1000,1.38,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
11,2000,0.92,Interop_KT2440_pSeva231_QacR_Q1.csv,KT2440,pSeva231,QacR_Q1
0,1,3.1,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
1,5,2.1,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
2,10,1.9,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
3,20,0.4,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
4,30,0.3,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
5,40,0.1,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
6,70,-0.1,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
7,100,-0.1,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
8,200,0.0,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
9,500,0.0,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
10,1000,0.0,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
11,2000,0.5,Interop_CC118Lpir_pSeva221_LmrA_N1.csv,CC118Lpir,pSeva221,LmrA_N1
0,1,2.2,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
1,5,0.4,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
2,10,0.3,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
3,20,0.1,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
4,30,0.4,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
5,40,0.2,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
6,70,0.5,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
7,100,0.6,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
8,200,0.1,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
9,500,0.2,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
10,1000,0.2,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
11,2000,0.6,Interop_CC118Lpir_pSeva221_LitR_L1.csv,CC118Lpir,pSeva221,LitR_L1
0,1,5.4,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
1,5,2.8,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
2,10,2.4,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
3,20,0.6,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
4,30,0.4,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
5,40,0.2,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
6,70,0.2,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
7,100,0.2,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
8,200,0.0,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
9,500,0.4,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
10,1000,0.3,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
11,2000,0.2,Interop_CC118Lpir_pSeva221_SrpR_S4.csv,CC118Lpir,pSeva221,SrpR_S4
0,1,3.83,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
1,5,3.8,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
2,10,4.42,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
3,20,5.58,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
4,30,3.83,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
5,40,4.59,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
6,70,4.67,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
7,100,4.38,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
8,200,3.12,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
9,500,3.54,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
10,1000,3.15,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
11,2000,2.99,Interop_KT2440_pSeva231_PsrA_R1.csv,KT2440,pSeva231,PsrA_R1
0,1,3.8,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
1,5,1.46,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
2,10,0.66,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
3,20,0.12,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
4,30,0.05,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
5,40,0.07,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
6,70,0.06,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
7,100,0.06,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
8,200,0.06,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
9,500,0.06,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
10,1000,0.08,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
11,2000,0.12,Interop_DH5alpha_pAN_QacR_Q2.csv,DH5alpha,pAN,QacR_Q2
0,1,23.26,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
1,5,20.68,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
2,10,22.83,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
3,20,21.21,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
4,30,18.74,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
5,40,18.41,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
6,70,16.69,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
7,100,14.43,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
8,200,10.87,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
9,500,8.18,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
10,1000,6.42,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
11,2000,4.63,Interop_KT2440_pSeva221_PhIF_P3.csv,KT2440,pSeva221,PhIF_P3
0,1,26.17,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
1,5,12.98,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
2,10,10.77,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
3,20,5.8,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
4,30,3.59,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
5,40,1.07,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
6,70,0.31,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
7,100,0.22,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
8,200,0.16,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
9,500,0.16,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
10,1000,0.09,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
11,2000,0.13,Interop_CC118Lpir_pSeva231_PhIF_P3.csv,CC118Lpir,pSeva231,PhIF_P3
0,1,0.24,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
1,5,0.05,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
2,10,0.08,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
3,20,0.14,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
4,30,0.07,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
5,40,0.06,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
6,70,0.07,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
7,100,0.07,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
8,200,-0.01,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
9,500,0.06,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
10,1000,0.15,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
11,2000,0.13,Interop_DH5alpha_pSeva221_PsrA_R1.csv,DH5alpha,pSeva221,PsrA_R1
0,1,0.05,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
1,5,0.01,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
2,10,0.03,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
3,20,0.03,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
4,30,0.05,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
5,40,0.04,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
6,70,0.04,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
7,100,0.02,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
8,200,0.01,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
9,500,0.02,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
10,1000,0.01,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
11,2000,0.01,Interop_DH5alpha_pSeva221_Bm3R1_B1.csv,DH5alpha,pSeva221,Bm3R1_B1
0,1,0.16,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
1,5,0.06,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
2,10,0.13,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
3,20,0.0,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
4,30,0.0,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
5,40,0.06,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
6,70,0.06,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
7,100,0.03,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
8,200,0.06,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
9,500,0.03,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
10,1000,0.03,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
11,2000,0.19,Interop_CC118Lpir_pSeva231_SrpR_S4.csv,CC118Lpir,pSeva231,SrpR_S4
0,1,1.24,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
1,5,1.14,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
2,10,1.1,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
3,20,1.03,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
4,30,0.97,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
5,40,0.95,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
6,70,0.91,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
7,100,0.89,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
8,200,0.79,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
9,500,0.62,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
10,1000,0.47,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
11,2000,0.3,Interop_KT2440_pSeva221_SrpR_S4.csv,KT2440,pSeva221,SrpR_S4
0,1,0.13,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
1,5,0.06,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
2,10,0.03,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
3,20,0.03,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
4,30,0.0,Interop_CC118Lpir_pSeva231_HIyIIR_H1.csv,CC118Lpir,pSeva231,HIyIIR_H1
