,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v_x,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,rrpu,median_yfp,newstandard
95,KT2440,Bm3r1_b2,pSeva221,2000,1.8681859452598224,2.7434954496511947,0.4742165027352866,0.6545243598808453,0.5827178064308114,0.9726765870010912,0.3853836928393676,1.819297214161055,0.54,0.5103738969794482
96,KT2440,Bm3r1_b3,pSeva221,1,1.3139962663488396,2.5086283064038244,1.140370294436872,0.7623513831454912,0.31740684143182296,0.8720823299967873,1.0814011289469423,1.3705299920246132,0.28,0.27856592559666177
97,KT2440,Bm3r1_b3,pSeva221,5,1.2170122543910542,2.4441036139399723,1.1236863683836689,0.7402011830481342,0.31637626339329034,0.8498159359999959,1.0659668539285947,1.3051898450380435,0.24,0.25267846874455846
98,KT2440,Bm3r1_b3,pSeva221,10,1.1508907939629824,2.4275073025702882,1.122283224670897,0.7310737586007252,0.3061060279060473,0.8324545704548765,1.0684107414650372,1.2449619940157153,0.22,0.23026916885462026
99,KT2440,Bm3r1_b3,pSeva221,20,1.3407195596438135,2.37860394843158,1.2462483447303387,0.8449825428900685,0.4441787584789368,0.8443321556109952,1.1165614794631784,1.5039036091238838,0.29,0.33696069514397897
100,KT2440,Bm3r1_b3,pSeva221,30,1.16469461075606,2.4409539825254436,1.1785502834633512,0.7218464026468622,0.3367854744591851,0.8046766918108663,1.1097010329879058,1.2673786579271125,0.22,0.23845258736121067
101,KT2440,Bm3r1_b3,pSeva221,40,1.2595022752746674,2.4684153014374925,1.1470496779079955,0.7440568758624129,0.2902975313706368,0.8459356500135161,1.0976536311331746,1.3307855397616237,0.25,0.26261833191775236
102,KT2440,Bm3r1_b3,pSeva221,70,1.2736295494229424,2.435231355495123,1.2320719863872165,0.7485856283098183,0.3140238590693599,0.8148920706166936,1.1697477376691447,1.373104180811183,0.25,0.27962084663161946
103,KT2440,Bm3r1_b3,pSeva221,100,1.4247181864908138,2.488188485622917,1.1889671605333083,0.7685066684928941,0.26293669648525936,0.8565045172271957,1.1471310769855854,1.4814696052365632,0.3,0.3265856904466879
104,KT2440,Bm3r1_b3,pSeva221,200,1.403539441862911,2.4444787587560732,1.228627582554618,0.7366467175953411,0.2560329952730359,0.8314673170814812,1.1876750207874136,1.4817792217910213,0.29,0.3267272999271383
105,KT2440,Bm3r1_b3,pSeva221,500,1.4745341302508577,2.4718200711506326,1.0285952470348745,0.7607650118949364,0.2506748840034356,0.91554630367919,0.9957535701897618,1.527365146101323,0.31,0.3480627895043741
106,KT2440,Bm3r1_b3,pSeva221,1000,1.4155302885737473,2.5023490528898438,1.0378919458946727,0.7504909269464861,0.2699425034143576,0.9205008238009188,0.9993617052786988,1.4623251399771284,0.29,0.3179142024639284
107,KT2440,Bm3r1_b3,pSeva221,2000,1.360824288552534,2.5810689395464683,0.9757604101234104,0.7507671379201992,0.2963227515888502,0.937675804405172,0.931936925334325,1.3787822911315073,0.28,0.2819574005740039
